"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
Acsion Limited (JSE:ACS),JSE:ACS,Real Estate (Operations & Services),South Africa,Emerging Markets,Africa and Middle East
AcSiP Technology Corp. (GTSM:6403),GTSM:6403,Telecom. Equipment,Taiwan,Emerging Markets,Small Asia
"ACT Co., Ltd. (KOSDAQ:A131400)",KOSDAQ:A131400,Electronics (General),South Korea,Emerging Markets,Small Asia
"ACT Co., Ltd. (KOSDAQ:A138360)",KOSDAQ:A138360,Chemical (Specialty),South Korea,Emerging Markets,Small Asia
"Acter Co., Ltd. (GTSM:5536)",GTSM:5536,Engineering/Construction,Taiwan,Emerging Markets,Small Asia
ACTi Corporation (GTSM:5240),GTSM:5240,Electronics (General),Taiwan,Emerging Markets,Small Asia
Action Construction Equipment Ltd (BSE:532762),BSE:532762,Construction Supplies,India,Emerging Markets,India
"Action Electronics Co., Ltd. (TSEC:3024)",TSEC:3024,Electronics (Consumer & Office),Taiwan,Emerging Markets,Small Asia
Action Hotels PLC (AIM:AHCG),AIM:AHCG,Hotel/Gaming,United Arab Emirates,Emerging Markets,Africa and Middle East
"Action Square Co., Ltd. (KOSDAQ:A205500)",KOSDAQ:A205500,Software (System & Application),South Korea,Emerging Markets,Small Asia
Active Fine Chemicals Ltd. (DSE:ACTIVEFINE),DSE:ACTIVEFINE,Drugs (Pharmaceutical),Bangladesh,Emerging Markets,Small Asia
"Actoz Soft Co., Ltd. (KOSDAQ:A052790)",KOSDAQ:A052790,Software (Entertainment),South Korea,Emerging Markets,Small Asia
Actron Technology Corporation (GTSM:8255),GTSM:8255,Auto Parts,Taiwan,Emerging Markets,Small Asia
Acula Technology Corp. (GTSM:3434),GTSM:3434,Electronics (General),Taiwan,Emerging Markets,Small Asia
ACWA Power Barka S.A.O.G. (MSM:APBS),MSM:APBS,Utility (General),Oman,Emerging Markets,Africa and Middle East
AD Aerdrom Nikola Telsa Beograd (BELEX:AERO),BELEX:AERO,Air Transport,Serbia,Emerging Markets,Eastern Europe & Russia
AD Fabrika secera TE-TO Senta (BELEX:TETO),BELEX:TETO,Food Processing,Serbia,Emerging Markets,Eastern Europe & Russia
AD Imlek (BELEX:IMLK),BELEX:IMLK,Food Processing,Serbia,Emerging Markets,Eastern Europe & Russia
"AD Plastik d.d., Solin (ZGSE:ADPL-R-A)",ZGSE:ADPL-R-A,Auto Parts,Croatia,Emerging Markets,EU & Environs
"AD Technology Co., Ltd. (KOSDAQ:A200710)",KOSDAQ:A200710,Semiconductor,South Korea,Emerging Markets,Small Asia
Ad-Dulayl Industrial Park & Real Estate Company P.L.C. (ASE:IDMC),ASE:IDMC,Real Estate (Operations & Services),Jordan,Emerging Markets,Africa and Middle East
Ad-Manum Finance Ltd (BSE:511359),BSE:511359,Financial Svcs. (Non-bank & Insurance),India,Emerging Markets,India
Adaiah Distribution Inc. (OTCBB:ADHH.D),OTCBB:ADHH.D,Retail (Distributors),Latvia,Emerging Markets,Eastern Europe & Russia
Adam Capital PLC (COSE:PCHH-N-0000),COSE:PCHH-N-0000,Diversified,Sri Lanka,Emerging Markets,Small Asia
Adam Investments PLC (COSE:AINV-N-0000),COSE:AINV-N-0000,Investments & Asset Management,Sri Lanka,Emerging Markets,Small Asia
Adam Sugar Mills (KASE:ADAMS),KASE:ADAMS,Food Processing,Pakistan,Emerging Markets,Small Asia
Adamant DRI Processing and Minerals Group (OTCPK:ADMG),OTCPK:ADMG,Steel,China,Emerging Markets,China
Adamas Finance Asia Limited (AIM:ADAM),AIM:ADAM,Investments & Asset Management,Hong Kong,Emerging Markets,China
Adamjee Insurance Company Limited (KASE:AICL),KASE:AICL,Insurance (Prop/Cas.),Pakistan,Emerging Markets,Small Asia
Adani Enterprises Limited (BSE:512599),BSE:512599,Retail (Distributors),India,Emerging Markets,India
Adani Ports and Special Economic Zone Limited (NSEI:ADANIPORTS),NSEI:ADANIPORTS,Shipbuilding & Marine,India,Emerging Markets,India
Adani Power Limited (BSE:533096),BSE:533096,Power,India,Emerging Markets,India
Adani Transmission Ltd. (BSE:539254),BSE:539254,Power,India,Emerging Markets,India
AdaptIT Holdings Limited (JSE:ADI),JSE:ADI,Software (System & Application),South Africa,Emerging Markets,Africa and Middle East
Adarsh Plant Protect Ltd. (BSE:526711),BSE:526711,Farming/Agriculture,India,Emerging Markets,India
"ADATA Technology Co., Ltd. (GTSM:3260)",GTSM:3260,Semiconductor,Taiwan,Emerging Markets,Small Asia
ADC India Communications Ltd (BSE:523411),BSE:523411,Telecom. Equipment,India,Emerging Markets,India
ADCC Infocad Limited (BSE:538734),BSE:538734,Computer Services,India,Emerging Markets,India
Adcock Ingram Holdings Limited (JSE:AIP),JSE:AIP,Drugs (Pharmaceutical),South Africa,Emerging Markets,Africa and Middle East
Adcorp Holdings Limited (JSE:ADR),JSE:ADR,Business & Consumer Services,South Africa,Emerging Markets,Africa and Middle East
Adda Corp. (GTSM:3071),GTSM:3071,Computers/Peripherals,Taiwan,Emerging Markets,Small Asia
"ADDCN Technology Co., Ltd. (GTSM:5287)",GTSM:5287,Software (Internet),Taiwan,Emerging Markets,Small Asia
Addi Industries Limited (BSE:507852),BSE:507852,Apparel,India,Emerging Markets,India
"Addsino Co., Ltd. (SZSE:000547)",SZSE:000547,Telecom. Equipment,China,Emerging Markets,China
Addvalue Technologies Ltd (SGX:A31),SGX:A31,Telecom. Equipment,Singapore,Emerging Markets,Small Asia
ADF Foods Limited (BSE:519183),BSE:519183,Food Processing,India,Emerging Markets,India
Adgar Investments and Development Ltd. (TASE:ADGR),TASE:ADGR,Real Estate (Operations & Services),Israel,Emerging Markets,Africa and Middle East
Adgorithms LTD (AIM:ADGO),AIM:ADGO,Software (Internet),Israel,Emerging Markets,Africa and Middle East
