Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
St Andrew Goldfields Ltd. (TSX:SAS),TSX:SAS,Precious Metals,Canada,"Australia, NZ and Canada",Canada
ST Barbara Ltd. (ASX:SBM),ASX:SBM,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
St Elias Mines Ltd. (OTCPK:SELS.F),OTCPK:SELS.F,Precious Metals,Canada,"Australia, NZ and Canada",Canada
St George Mining Limited (ASX:SGQ),ASX:SGQ,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
St Georges Platinum and Base Metals Ltd. (DB:85G1),DB:85G1,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Stakeholder Gold Corp. (TSXV:SRC),TSXV:SRC,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Standard Exploration Ltd (TSXV:SDE),TSXV:SDE,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Standard Graphite Corporation (TSXV:SGH),TSXV:SGH,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Stanfield Funds Management Limited (ASX:SFN),ASX:SFN,Investments & Asset Management,Australia,"Australia, NZ and Canada",Australia & NZ
Stanmore Coal Limited (ASX:SMR),ASX:SMR,Coal & Related Energy,Australia,"Australia, NZ and Canada",Australia & NZ
Stans Energy Corp. (TSXV:HRE),TSXV:HRE,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Stantec Inc. (TSX:STN),TSX:STN,Business & Consumer Services,Canada,"Australia, NZ and Canada",Canada
Star Minerals Group Limited (DB:L3O1),DB:L3O1,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
